# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
1315	un	429772	-0.04092	-1.00000	-0.04235	-1.00000	0.57421	-1.00000
1323	un	432114	0.07412	-1.00000	0.06122	-1.00000	0.02559	-1.00000
1328	un	433735	-0.08697	-1.00000	-0.07766	-1.00000	0.62517	-1.00000
1335	un	437763	0.12975	-1.00000	0.13201	-1.00000	0.56468	-1.00000
1338	un	439386	-0.01671	-1.00000	-0.01720	-1.00000	0.57138	-1.00000
1340	un	440223	-0.02458	-1.00000	-0.00926	-1.00000	0.47391	-1.00000
1349	un	443506	-0.04315	-1.00000	-0.02685	-1.00000	0.55683	-1.00000
1350	un	444311	-0.01260	-1.00000	-0.00104	-1.00000	0.50894	-1.00000
1364	un	448292	0.01296	-1.00000	0.01349	-1.00000	0.66816	-1.00000
1370	un	450724	-0.00710	-1.00000	-0.00497	-1.00000	0.57367	-1.00000
1388	un	455635	0.05648	-1.00000	0.01059	-1.00000	0.01178	-1.00000
1432	un	469223	0.03841	-1.00000	0.03624	-1.00000	0.02199	-1.00000
1442	un	470820	-0.03722	-1.00000	-0.03884	-1.00000	0.52779	-1.00000
1453	un	474156	-0.02411	-1.00000	-0.02508	-1.00000	0.50864	-1.00000
1455	un	474908	-0.02474	-1.00000	-0.01490	-1.00000	-nan	-1.00000
1457	un	475727	0.08319	-1.00000	0.03765	-1.00000	-nan	-1.00000
1459	un	476461	0.07329	-1.00000	0.00983	-1.00000	-nan	-1.00000
1466	un	478875	-0.00301	-1.00000	-0.00314	-1.00000	0.59342	-1.00000
1472	un	479742	-0.05316	-1.00000	-0.05597	-1.00000	-nan	-1.00000
